,url,region,province,locality,zip_code,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
0,https://www.immoweb.be/en/classified/house/for-sale/bertem/3060/10825503,Flanders,Flemish Brabant,Bertem,3060,HOUSE,HOUSE,298000.0,4.0,112.0,SEMI_EQUIPPED,False,,True,24.0,True,272.0,450,4,False,TO_BE_DONE_UP
1,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/geraardsbergen/9500/10825603,Flanders,East Flanders,Geraardsbergen,9500,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
2,https://www.immoweb.be/en/classified/house/for-sale/roosdaal/1760/10825693,Flanders,Flemish Brabant,Roosdaal,1760,HOUSE,HOUSE,360000.0,3.0,301.0,SEMI_EQUIPPED,,,True,,,,545,3,False,GOOD
3,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/wetteren/9230/10824904,Flanders,East Flanders,Wetteren,9230,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
4,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/kontich/2550/10825327,Flanders,Antwerp,Kontich,2550,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
5,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/wuustwezel/2990/10825062,Flanders,Antwerp,Wuustwezel,2990,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
6,https://www.immoweb.be/en/classified/house/for-sale/oupeye/4682/10823978,Wallonie,Liège,Oupeye,4682,HOUSE,HOUSE,149000.0,3.0,138.0,INSTALLED,False,,True,20.0,True,390.0,571,3,False,TO_RENOVATE
7,https://www.immoweb.be/en/classified/house/for-sale/grace-hollogne/4460/10823979,Wallonie,Liège,Grace-Hollogne,4460,HOUSE,HOUSE,199000.0,3.0,133.0,INSTALLED,False,,True,65.0,True,470.0,583,2,False,GOOD
8,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10823777,Flanders,East Flanders,Ronse,9600,HOUSE,HOUSE,289000.0,3.0,156.0,INSTALLED,False,,,,True,350.0,555,3,False,GOOD
9,https://www.immoweb.be/en/classified/house/for-sale/deurne/2100/10823722,Flanders,Antwerp,Deurne,2100,HOUSE,HOUSE,314000.0,3.0,151.0,SEMI_EQUIPPED,,-1.0,,,True,60.0,136,2,,GOOD
10,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/ronse/9600/10823693,Flanders,East Flanders,Ronse,9600,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
11,https://www.immoweb.be/en/classified/house/for-sale/moha/4520/10824516,Wallonie,Liège,MOHA,4520,HOUSE,HOUSE,385000.0,7.0,350.0,INSTALLED,,-1.0,True,30.0,True,,1199,4,,GOOD
12,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/harelbeke/8530/10823300,Flanders,West Flanders,Harelbeke,8530,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
13,https://www.immoweb.be/en/classified/house/for-sale/antwerp/2000/10776949,Flanders,Antwerp,Antwerp,2000,HOUSE,HOUSE,439900.0,2.0,160.0,INSTALLED,False,,True,13.0,,,48,2,False,AS_NEW
14,https://www.immoweb.be/en/classified/house/for-sale/erpe-mere/9420/10823494,Flanders,East Flanders,Erpe-Mere,9420,HOUSE,HOUSE,498000.0,4.0,205.0,HYPER_EQUIPPED,,,True,,,,663,3,False,AS_NEW
15,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gent%20gentbrugge/9050/10823676,Flanders,East Flanders,Gent Gentbrugge,9050,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
16,https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/10823496,Flanders,East Flanders,Aalst,9300,HOUSE,HOUSE,679000.0,5.0,370.0,HYPER_EQUIPPED,,,True,,,,961,4,False,AS_NEW
17,https://www.immoweb.be/en/classified/house/for-sale/oupeye/4682/10821092,Wallonie,Liège,Oupeye,4682,HOUSE,HOUSE,199000.0,4.0,130.0,INSTALLED,False,,,,True,155.0,350,2,False,GOOD
18,https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/10821645,Flanders,East Flanders,Geraardsbergen,9500,HOUSE,HOUSE,237500.0,3.0,125.0,INSTALLED,,-1.0,,,,,58,2,,JUST_RENOVATED
19,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/herent/3020/10472547,Flanders,Flemish Brabant,Herent,3020,HOUSE,MIXED_USE_BUILDING,359000.0,4.0,348.0,INSTALLED,,-1.0,,,True,128.0,314,2,,GOOD
20,https://www.immoweb.be/en/classified/house/for-sale/herent/3020/10472546,Flanders,Flemish Brabant,Herent,3020,HOUSE,HOUSE,359000.0,4.0,348.0,INSTALLED,,-1.0,,,True,128.0,314,2,,GOOD
21,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/deinze/9800/10820756,Flanders,East Flanders,Deinze,9800,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
22,https://www.immoweb.be/en/classified/mansion/for-sale/nivelles/1400/10821550,Wallonie,Walloon Brabant,Nivelles,1400,HOUSE,MANSION,420000.0,5.0,250.0,INSTALLED,,,True,40.0,True,500.0,770,3,False,TO_RENOVATE
23,https://www.immoweb.be/en/classified/mansion/for-sale/seneffe/7180/10821548,Wallonie,Hainaut,Seneffe,7180,HOUSE,MANSION,420000.0,5.0,250.0,INSTALLED,,,True,40.0,True,500.0,770,3,False,TO_RENOVATE
24,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gent/9030/10820782,Flanders,East Flanders,Gent,9030,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
