,url,region,province,locality,zip_code,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
0,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/10833667,Wallonie,Liège,Seraing,4100,HOUSE,HOUSE,144000.0,2.0,105.0,SEMI_EQUIPPED,False,,True,,True,25.0,105,2,False,GOOD
1,https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/10833916,Wallonie,Liège,Herstal,4040,HOUSE,HOUSE,164000.0,4.0,167.0,INSTALLED,False,,True,80.0,,,90,3,False,TO_BE_DONE_UP
2,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/aalst/9300/10833652,Flanders,East Flanders,Aalst,9300,HOUSE,MIXED_USE_BUILDING,295000.0,3.0,249.0,INSTALLED,False,,True,21.0,,,180,2,False,GOOD
3,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/geraardsbergen%20moerbeke/9500/10833701,Flanders,East Flanders,Geraardsbergen Moerbeke,9500,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
4,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/harelbeke/8530/10834022,Flanders,West Flanders,Harelbeke,8530,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
5,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/wuustwezel/2990/10833448,Flanders,Antwerp,Wuustwezel,2990,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
6,https://www.immoweb.be/en/classified/town-house/for-sale/dilbeek/1700/10833480,Flanders,Flemish Brabant,Dilbeek,1700,HOUSE,TOWN_HOUSE,590000.0,4.0,290.0,HYPER_EQUIPPED,,,True,,,,517,3,True,GOOD
7,https://www.immoweb.be/en/classified/house/for-sale/antwerp/2000/10831508,Flanders,Antwerp,Antwerp,2000,HOUSE,HOUSE,439900.0,2.0,160.0,INSTALLED,False,,True,13.0,,,48,2,False,AS_NEW
8,https://www.immoweb.be/en/classified/house/for-sale/lede/9340/10831292,Flanders,East Flanders,Lede,9340,HOUSE,HOUSE,449000.0,2.0,145.0,HYPER_EQUIPPED,,,True,,,,527,3,False,AS_NEW
9,https://www.immoweb.be/en/classified/house/for-sale/lievegem/9930/10831406,Flanders,East Flanders,Lievegem,9930,HOUSE,HOUSE,495000.0,4.0,194.0,USA_HYPER_EQUIPPED,False,,True,66.0,True,630.0,975,3,False,GOOD
10,https://www.immoweb.be/en/classified/villa/for-sale/holsbeek%20kortrijk-dutsel/3220/10831251,Flanders,Flemish Brabant,Holsbeek Kortrijk-Dutsel,3220,HOUSE,VILLA,579000.0,4.0,225.0,INSTALLED,,,True,18.0,,,1103,4,,GOOD
11,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/10832715,Brussels,Brussels,Etterbeek,1040,HOUSE,HOUSE,1150000.0,6.0,300.0,HYPER_EQUIPPED,False,,True,40.0,True,150.0,260,2,False,AS_NEW
12,https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/10828460,Flanders,East Flanders,Aalst,9300,HOUSE,HOUSE,159000.0,2.0,81.0,USA_INSTALLED,False,,True,,True,70.0,120,2,False,TO_BE_DONE_UP
13,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/10828802,Flanders,Antwerp,Mechelen,2800,HOUSE,HOUSE,295000.0,2.0,172.0,INSTALLED,,,True,,,,189,2,False,GOOD
14,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/10828745,Flanders,Flemish Brabant,Wezembeek-Oppem,1970,HOUSE,HOUSE,329000.0,3.0,80.0,INSTALLED,False,,True,28.0,True,60.0,170,3,False,TO_BE_DONE_UP
