,url,region,province,locality,zip_code,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state,ppm,digit
1,https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/10833916,Wallonie,Liège,Herstal,other,HOUSE,HOUSE,164000.0,4.0,167.0,INSTALLED,0,0.0,1,80.0,0,0.0,90.0,3.0,0,TO_BE_DONE_UP,1822.2222222222222,other
2,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/aalst/9300/10833652,Flanders,East Flanders,Aalst,other,HOUSE,MIXED_USE_BUILDING,295000.0,3.0,249.0,INSTALLED,0,0.0,1,21.0,0,0.0,180.0,2.0,0,GOOD,1638.888888888889,other
7,https://www.immoweb.be/en/classified/house/for-sale/antwerp/2000/10831508,Flanders,Antwerp,Antwerp,other,HOUSE,HOUSE,439900.0,2.0,160.0,INSTALLED,0,0.0,1,13.0,0,0.0,48.0,2.0,0,AS_NEW,9164.583333333334,other
9,https://www.immoweb.be/en/classified/house/for-sale/lievegem/9930/10831406,Flanders,East Flanders,Lievegem,other,HOUSE,HOUSE,495000.0,4.0,194.0,USA_HYPER_EQUIPPED,0,0.0,1,66.0,1,630.0,975.0,3.0,0,GOOD,507.6923076923077,other
10,https://www.immoweb.be/en/classified/villa/for-sale/holsbeek%20kortrijk-dutsel/3220/10831251,Flanders,Flemish Brabant,Holsbeek Kortrijk-Dutsel,other,HOUSE,VILLA,579000.0,4.0,225.0,INSTALLED,0,0.0,1,18.0,0,0.0,1103.0,4.0,0,GOOD,524.9320036264733,other
11,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/10832715,Brussels,Brussels,Etterbeek,other,HOUSE,HOUSE,1150000.0,6.0,300.0,HYPER_EQUIPPED,0,0.0,1,40.0,1,150.0,260.0,2.0,0,AS_NEW,4423.076923076923,other
14,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/10828745,Flanders,Flemish Brabant,Wezembeek-Oppem,other,HOUSE,HOUSE,329000.0,3.0,80.0,INSTALLED,0,0.0,1,28.0,1,60.0,170.0,3.0,0,TO_BE_DONE_UP,1935.2941176470588,other
17,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/10828236,Brussels,Brussels,Ixelles,other,HOUSE,HOUSE,830000.0,4.0,282.0,INSTALLED,0,0.0,0,0.0,1,80.0,163.0,2.0,0,TO_BE_DONE_UP,5092.0245398773,other
18,https://www.immoweb.be/en/classified/house/for-sale/li%C3%A8ge/4031/10826704,Wallonie,Liège,Liège,other,HOUSE,HOUSE,249000.0,1.0,95.0,INSTALLED,0,0.0,0,0.0,1,93.0,149.0,2.0,0,JUST_RENOVATED,1671.1409395973155,other
19,https://www.immoweb.be/en/classified/house/for-sale/bertem/3060/10825503,Flanders,Flemish Brabant,Bertem,other,HOUSE,HOUSE,298000.0,4.0,112.0,SEMI_EQUIPPED,0,0.0,1,24.0,1,272.0,450.0,4.0,0,TO_BE_DONE_UP,662.2222222222222,other
20,https://www.immoweb.be/en/classified/apartment-block/for-sale/malmedy/4960/10826180,Wallonie,Liège,Malmedy,other,HOUSE,APARTMENT_BLOCK,299000.0,2.0,167.0,SEMI_EQUIPPED,0,0.0,0,0.0,0,0.0,95.0,2.0,0,GOOD,3147.3684210526317,other
22,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/10827696,Flanders,Flemish Brabant,Wezembeek-Oppem,other,HOUSE,HOUSE,329000.0,3.0,80.0,INSTALLED,0,0.0,1,14.0,1,60.0,170.0,3.0,0,TO_BE_DONE_UP,1935.2941176470588,other
36,https://www.immoweb.be/en/classified/duplex/for-sale/sint-niklaas/9100/10834468,Flanders,East Flanders,Sint-Niklaas,other,APARTMENT,DUPLEX,189000.0,3.0,122.0,NOT_INSTALLED,0,0.0,0,0.0,0,0.0,122.0,2.0,0,TO_BE_DONE_UP,1549.1803278688524,other
41,https://www.immoweb.be/en/classified/house/for-sale/oudenburg/8460/10621733,Flanders,West Flanders,Oudenburg,other,HOUSE,HOUSE,375000.0,3.0,245.0,INSTALLED,0,0.0,1,36.0,1,306.0,458.0,2.0,0,GOOD,818.7772925764192,other
48,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10834451,Brussels,Brussels,Schaerbeek,other,APARTMENT,APARTMENT,145000.0,1.0,58.0,NOT_INSTALLED,0,0.0,0,0.0,0,0.0,58.0,2.0,0,TO_RENOVATE,2500.0,other
52,https://www.immoweb.be/en/classified/apartment/for-sale/merksem/2170/10834422,Flanders,Antwerp,Merksem,other,APARTMENT,APARTMENT,199000.0,3.0,94.0,HYPER_EQUIPPED,0,0.0,0,0.0,0,0.0,94.0,2.0,0,GOOD,2117.021276595745,other
55,https://www.immoweb.be/en/classified/house/for-sale/colfontaine/7340/10834417,Wallonie,Hainaut,Colfontaine,other,HOUSE,HOUSE,65000.0,3.0,149.0,NOT_INSTALLED,0,0.0,0,0.0,0,0.0,0.0,2.0,0,TO_RENOVATE,inf,other
