,url,region,province,locality,zip_code,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state,ppm,digit
0,https://www.immoweb.be/en/classified/house/for-sale/oupeye/4682/10821092,Wallonie,Liège,Oupeye,other,HOUSE,HOUSE,199000.0,4.0,130.0,INSTALLED,0,0.0,0,0.0,1,155.0,350.0,2.0,0,GOOD,568.5714285714286,other
1,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/herent/3020/10472547,Flanders,Flemish Brabant,Herent,other,HOUSE,MIXED_USE_BUILDING,359000.0,4.0,348.0,INSTALLED,0,0.0,0,0.0,1,128.0,314.0,2.0,0,GOOD,1143.312101910828,other
2,https://www.immoweb.be/en/classified/house/for-sale/herent/3020/10472546,Flanders,Flemish Brabant,Herent,other,HOUSE,HOUSE,359000.0,4.0,348.0,INSTALLED,0,0.0,0,0.0,1,128.0,314.0,2.0,0,GOOD,1143.312101910828,other
7,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10818318,Flanders,East Flanders,Ronse,other,HOUSE,HOUSE,175000.0,4.0,236.0,INSTALLED,0,0.0,0,0.0,1,75.0,200.0,2.0,0,TO_RENOVATE,875.0,other
12,https://www.immoweb.be/en/classified/house/for-sale/genappe/1470/10815917,Wallonie,Walloon Brabant,Genappe,other,HOUSE,HOUSE,185000.0,1.0,88.0,SEMI_EQUIPPED,0,0.0,1,10.0,1,50.0,148.0,2.0,0,TO_BE_DONE_UP,1250.0,other
13,https://www.immoweb.be/en/classified/house/for-sale/zottegem/9620/10815601,Flanders,East Flanders,Zottegem,other,HOUSE,HOUSE,189000.0,3.0,160.0,SEMI_EQUIPPED,0,0.0,1,15.0,1,50.0,167.0,2.0,0,GOOD,1131.7365269461077,other
14,https://www.immoweb.be/en/classified/bungalow/for-sale/ans/4432/10815989,Wallonie,Liège,Ans,other,HOUSE,BUNGALOW,299000.0,3.0,126.0,INSTALLED,0,0.0,1,11.0,1,620.0,984.0,4.0,0,GOOD,303.8617886178862,other
20,https://www.immoweb.be/en/classified/house/for-sale/wanze/4520/10813900,Wallonie,Liège,Wanze,other,HOUSE,HOUSE,299500.0,4.0,133.0,INSTALLED,0,0.0,1,25.0,1,400.0,503.0,4.0,0,AS_NEW,595.427435387674,other
31,https://www.immoweb.be/en/classified/house/for-sale/dendermonde/9200/10822160,Flanders,East Flanders,Dendermonde,other,HOUSE,HOUSE,275000.0,3.0,165.0,NOT_INSTALLED,0,0.0,0,0.0,1,123.0,277.0,2.0,0,JUST_RENOVATED,992.7797833935018,other
40,https://www.immoweb.be/en/classified/house/for-sale/rochefort/5580/10822131,Wallonie,Namur,Rochefort,other,HOUSE,HOUSE,175000.0,5.0,163.0,NOT_INSTALLED,0,0.0,1,46.0,1,332.0,456.0,2.0,0,TO_RENOVATE,383.7719298245614,other
41,https://www.immoweb.be/en/classified/house/for-sale/marche-en-famenne/6900/10822130,Wallonie,Luxembourg,Marche-en-Famenne,other,HOUSE,HOUSE,315000.0,4.0,117.0,INSTALLED,0,0.0,1,49.0,1,550.0,630.0,3.0,0,GOOD,500.0,other
49,https://www.immoweb.be/en/classified/house/for-sale/oudegem%20%28dendermonde%29/9200/10822119,Flanders,East Flanders,Oudegem (Dendermonde),other,HOUSE,HOUSE,265000.0,2.0,119.0,NOT_INSTALLED,0,0.0,0,0.0,1,32.0,133.0,2.0,0,GOOD,1992.4812030075188,other
